canonical_name,concern_tag,concern_tag_label,risk_level,risk_level_label,sub_weight,products_containing,health_concern
octinoxate,annex_iii_restricted,Restricted Ingredient,Medium,Moderate Risk,2.0,521,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
salicylic acid,annex_iii_restricted,Restricted Ingredient,Medium,Moderate Risk,2.0,370,Restricted active ingredient; may irritate skin at higher concentrations
triethanolamine,annex_iii_restricted,Restricted Ingredient,Medium,Moderate Risk,2.0,167,pH adjuster; restricted ≤2.5% due to risk of forming cancer-causing nitrosamines
methylparaben,annex_iii_restricted,Restricted Ingredient,Medium,Moderate Risk,2.0,149,"Preservative;
permitted with concentration limits; SCCS
reviewed endocrine-related concerns"
benzophenone-4,annex_iii_restricted,Restricted Ingredient,Medium,Moderate Risk,2.0,123,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
retinyl palmitate,annex_iii_restricted,Restricted Ingredient,Medium,Moderate Risk,2.0,123,Restricted to 0.05 % RE body lotion / 0.3 % other
retinol,annex_iii_restricted,Restricted Ingredient,Medium,Moderate Risk,2.0,100,Vitamin A; SCCS permitted with concentration limits; pregnancy precaution
phenoxyethanol,annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,3327,"Preservative;
permitted with concentration limits; mild irritation/sensitization"
ci 42090 (blue 1),annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,649,Approved colorant; concentration restricted 
butyl methoxydibenzoylmethane,annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,641,UV filter; permitted with concentration limits
chlorphenesin,annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,637,Preservative; permitted with concentration on limits
ethylhexyl salicylate,annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,441,UV filter; permitted with concentration limits
ci 60730 (ext violet 2),annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,327,Synthetic colorant; restricted from lips and eye area
ci 17200 (red 33),annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,252,Approved colorant; concentration restricted 
potassium hydroxide,annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,233,pH adjuster; restricted due to strong alkalinity; concentration limits apply
ci 45410 (red 28),annex_iii_restricted,Restricted Ingredient,Low-Medium,Low-Moderate Risk,1.5,226,Approved colorant; concentration restricted 
triethanolamine,carcinogen_concern,Cancer Concern,Medium,Moderate Risk,2.0,167,pH adjuster; restricted ≤2.5% due to risk of forming cancer-causing nitrosamines
alcohol denat,drying,Drying Effect,Low-Medium,Low-Moderate Risk,1.5,1209,Drying with prolonged use
alcohol,drying,Drying Effect,Low-Medium,Low-Moderate Risk,1.5,860,Ethanol solvent; barrier-disruption potential
isopropyl alcohol,drying,Drying Effect,Low-Medium,Low-Moderate Risk,1.5,334,Solvent; may cause mild skin drying and irritation
bht,endocrine_disruptor,Hormone Disruption Risk,Medium,Moderate Risk,2.0,1015,Antioxidant reviewed for EDC; safe at ≤0.8 %
octinoxate,endocrine_disruptor,Hormone Disruption Risk,Medium,Moderate Risk,2.0,521,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
