canonical_name,primary_category,n_products_in_category
2-hexanediol,Skincare,477
2-hexanediol,Makeup,258
2-hexanediol,Mini Size,28
2-hexanediol,Hair,27
2-hexanediol,Bath & Body,15
acacia senegal gum,Makeup,91
acacia senegal gum,Skincare,55
acacia senegal gum,Mini Size,19
acacia senegal gum,Hair,7
acacia senegal gum,Bath & Body,6
acetic acid,Hair,82
acetic acid,Skincare,8
acetic acid,Fragrance,7
acetic acid,Bath & Body,1
acetic acid,Mini Size,1
acetyl glucosamine,Skincare,82
acetyl glucosamine,Makeup,8
acetyl glucosamine,Hair,3
acetyl glucosamine,Men,3
acetyl glucosamine,Bath & Body,2
acetyl hexapeptide-8,Skincare,103
acetyl hexapeptide-8,Makeup,12
acetyl hexapeptide-8,Men,3
acetyl hexapeptide-8,Mini Size,3
acetyl hexapeptide-8,Bath & Body,2
acrylates copolymer,Makeup,128
acrylates copolymer,Hair,94
acrylates copolymer,Skincare,53
acrylates copolymer,Bath & Body,14
acrylates copolymer,Mini Size,12
acrylates/c10-30 alkyl acrylate crosspolymer,Skincare,284
acrylates/c10-30 alkyl acrylate crosspolymer,Hair,40
acrylates/c10-30 alkyl acrylate crosspolymer,Makeup,28
acrylates/c10-30 alkyl acrylate crosspolymer,Bath & Body,26
acrylates/c10-30 alkyl acrylate crosspolymer,Mini Size,7
adenosine,Skincare,217
adenosine,Makeup,14
adenosine,Mini Size,4
adenosine,Bath & Body,2
adenosine,Hair,2
alanine,Hair,60
alanine,Skincare,51
alanine,Makeup,12
alanine,Bath & Body,4
alanine,Mini Size,3
alcohol,Fragrance,364
alcohol,Skincare,230
alcohol,Makeup,136
alcohol,Hair,82
alcohol,Bath & Body,27
alcohol denat,Fragrance,695
alcohol denat,Skincare,202
alcohol denat,Hair,159
alcohol denat,Makeup,98
alcohol denat,Mini Size,42
algae extract,Skincare,92
algae extract,Makeup,26
algae extract,Hair,16
algae extract,Mini Size,6
algae extract,Men,3
algin,Skincare,66
algin,Hair,29
algin,Makeup,9
algin,Mini Size,6
algin,Men,2
allantoin,Skincare,223
allantoin,Bath & Body,34
allantoin,Makeup,23
allantoin,Mini Size,12
allantoin,Hair,11
aloe barbadensis,Skincare,441
aloe barbadensis,Hair,236
aloe barbadensis,Makeup,93
aloe barbadensis,Bath & Body,82
aloe barbadensis,Fragrance,40
alpha-isomethyl ionone,Fragrance,474
alpha-isomethyl ionone,Hair,146
alpha-isomethyl ionone,Skincare,57
alpha-isomethyl ionone,Bath & Body,43
alpha-isomethyl ionone,Makeup,26
alumina,Makeup,203
alumina,Skincare,34
alumina,Mini Size,11
alumina,Bath & Body,3
alumina,Fragrance,3
aluminum hydroxide,Makeup,242
aluminum hydroxide,Skincare,36
aluminum hydroxide,Mini Size,16
aluminum hydroxide,Fragrance,2
aluminum hydroxide,Bath & Body,1
aluminum powder (ci 77000),Makeup,59
aluminum powder (ci 77000),Mini Size,6
aluminum powder (ci 77000),Men,1
aluminum powder (ci 77000),Skincare,1
aluminum starch octenylsuccinate,Makeup,50
aluminum starch octenylsuccinate,Hair,32
aluminum starch octenylsuccinate,Mini Size,9
aluminum starch octenylsuccinate,Skincare,9
aluminum starch octenylsuccinate,Bath & Body,5
aminomethyl propanol,Hair,110
aminomethyl propanol,Skincare,73
aminomethyl propanol,Makeup,56
aminomethyl propanol,Mini Size,13
aminomethyl propanol,Bath & Body,7
ammonium acryloyldimethyltaurate/vp copolymer,Skincare,151
ammonium acryloyldimethyltaurate/vp copolymer,Makeup,28
ammonium acryloyldimethyltaurate/vp copolymer,Bath & Body,8
ammonium acryloyldimethyltaurate/vp copolymer,Mini Size,5
ammonium acryloyldimethyltaurate/vp copolymer,Hair,3
amodimethicone,Hair,211
amodimethicone,Skincare,13
amodimethicone,Makeup,5
amodimethicone,Mini Size,4
amodimethicone,Men,1
amyl cinnamal,Fragrance,69
amyl cinnamal,Hair,39
amyl cinnamal,Skincare,10
amyl cinnamal,Bath & Body,8
amyl cinnamal,Makeup,6
anhydroxylitol,Skincare,56
anhydroxylitol,Hair,26
anhydroxylitol,Bath & Body,5
anhydroxylitol,Makeup,4
anhydroxylitol,Mini Size,1
argania spinosa kernel oil,Hair,187
argania spinosa kernel oil,Skincare,55
argania spinosa kernel oil,Makeup,38
argania spinosa kernel oil,Bath & Body,27
argania spinosa kernel oil,Mini Size,22
arginine,Skincare,154
arginine,Hair,122
arginine,Makeup,29
arginine,Bath & Body,9
arginine,Mini Size,9
ascorbic acid,Skincare,586
ascorbic acid,Makeup,255
ascorbic acid,Hair,107
ascorbic acid,Bath & Body,35
ascorbic acid,Mini Size,26
aspartic acid,Hair,62
aspartic acid,Skincare,37
aspartic acid,Makeup,10
aspartic acid,Bath & Body,4
aspartic acid,Mini Size,3
astrocaryum murumuru seed butter,Hair,37
astrocaryum murumuru seed butter,Skincare,25
astrocaryum murumuru seed butter,Makeup,18
astrocaryum murumuru seed butter,Bath & Body,6
astrocaryum murumuru seed butter,Fragrance,1
avena sativa (oat) kernel extract,Skincare,69
avena sativa (oat) kernel extract,Bath & Body,8
avena sativa (oat) kernel extract,Hair,4
avena sativa (oat) kernel extract,Makeup,2
avena sativa (oat) kernel extract,Fragrance,1
behentrimonium chloride,Hair,315
behentrimonium chloride,Mini Size,10
behentrimonium chloride,Men,1
behentrimonium chloride,Skincare,1
behentrimonium methosulfate,Hair,141
behentrimonium methosulfate,Men,3
behentrimonium methosulfate,Mini Size,3
behenyl alcohol,Skincare,187
behenyl alcohol,Hair,23
behenyl alcohol,Makeup,16
behenyl alcohol,Bath & Body,15
behenyl alcohol,Mini Size,8
benzoic acid,Hair,120
benzoic acid,Skincare,110
benzoic acid,Makeup,54
benzoic acid,Fragrance,20
benzoic acid,Bath & Body,19
benzophenone-4,Hair,84
benzophenone-4,Skincare,23
benzophenone-4,Bath & Body,11
benzophenone-4,Mini Size,3
benzophenone-4,Men,2
benzyl alcohol,Fragrance,497
benzyl alcohol,Hair,374
benzyl alcohol,Skincare,211
benzyl alcohol,Makeup,104
benzyl alcohol,Bath & Body,47
benzyl benzoate,Fragrance,531
benzyl benzoate,Hair,116
benzyl benzoate,Skincare,96
benzyl benzoate,Makeup,73
benzyl benzoate,Bath & Body,38
benzyl cinnamate,Fragrance,91
benzyl cinnamate,Hair,16
benzyl cinnamate,Mini Size,3
benzyl cinnamate,Bath & Body,2
benzyl cinnamate,Makeup,1
benzyl salicylate,Fragrance,567
benzyl salicylate,Hair,217
benzyl salicylate,Skincare,84
benzyl salicylate,Bath & Body,61
benzyl salicylate,Makeup,44
betaine,Skincare,230
betaine,Hair,32
betaine,Makeup,21
betaine,Bath & Body,9
betaine,Mini Size,7
bht,Fragrance,322
bht,Skincare,225
bht,Makeup,205
bht,Hair,189
bht,Mini Size,37
biotin,Hair,131
biotin,Skincare,37
biotin,Makeup,28
biotin,Mini Size,4
biotin,Bath & Body,3
bis-diglyceryl polyacyladipate-2,Makeup,192
bis-diglyceryl polyacyladipate-2,Skincare,46
bis-diglyceryl polyacyladipate-2,Mini Size,15
bis-diglyceryl polyacyladipate-2,Hair,5
bis-diglyceryl polyacyladipate-2,Fragrance,3
bisabolol,Skincare,169
bisabolol,Bath & Body,31
bisabolol,Makeup,19
bisabolol,Hair,12
bisabolol,Mini Size,10
bismuth oxychloride (ci 77163),Makeup,279
bismuth oxychloride (ci 77163),Mini Size,26
bismuth oxychloride (ci 77163),Skincare,12
bismuth oxychloride (ci 77163),Hair,2
bismuth oxychloride (ci 77163),Men,1
boron nitride,Makeup,172
boron nitride,Skincare,31
boron nitride,Mini Size,18
boron nitride,Hair,2
butyl methoxydibenzoylmethane,Fragrance,515
butyl methoxydibenzoylmethane,Hair,59
butyl methoxydibenzoylmethane,Skincare,43
butyl methoxydibenzoylmethane,Mini Size,10
butyl methoxydibenzoylmethane,Bath & Body,9
butylene glycol,Skincare,1080
butylene glycol,Makeup,516
butylene glycol,Hair,384
butylene glycol,Mini Size,80
butylene glycol,Bath & Body,60
butylene/ethylene/styrene copolymer,Makeup,74
butylene/ethylene/styrene copolymer,Skincare,24
butylene/ethylene/styrene copolymer,Hair,3
