rank,canonical_name,total_mentions,risk_level,sub_weight,health_concern,function_tag,concern_tag_list,n_concern_tags,products_containing,top_primary_categories,color_group,risk_level_label,function_tag_label,concern_labels
112,butylphenyl methylpropional,408,High,3.0,Reproductive toxin; BANNED in EU since 1 March 2022,other,eu_banned; reproductive_toxin,2,387,Hair (145); Fragrance (141); Skincare (38),Red,High Risk,Other,EU-Banned Ingredient; Reproductive Health Concern
396,hydroxyisohexyl 3-cyclohexene carboxaldehyde,89,High,3.0,Extreme skin sensitizer; BANNED in EU since August 2021,other,eu_banned; sensitizer,2,88,Hair (35); Fragrance (27); Bath & Body (9),Red,High Risk,Other,EU-Banned Ingredient; Allergy Risk
5,parfum (fragrance),4168,Medium,2.0,Undisclosed allergen mixture; declaration required,other,fragrance_allergen,1,3566,Fragrance (1112); Hair (1080); Skincare (738),Yellow,Moderate Risk,Other,Fragrance Allergen
26,geraniol,1739,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,1527,Fragrance (821); Skincare (298); Hair (224),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
28,citral,1530,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,1360,Fragrance (800); Skincare (222); Hair (179),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
30,benzyl alcohol,1438,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,1265,Fragrance (497); Hair (374); Skincare (211),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
39,bht,1107,Medium,2.0,Antioxidant reviewed for EDC; safe at ≤0.8 %,antioxidant,endocrine_disruptor,1,1015,Fragrance (322); Skincare (225); Makeup (205),Yellow,Moderate Risk,Antioxidant,Hormone Disruption Risk
38,benzyl salicylate,1112,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,1000,Fragrance (567); Hair (217); Skincare (84),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
49,coumarin,946,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,858,Fragrance (564); Hair (160); Bath & Body (67),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
54,hydroxycitronellal,918,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,833,Fragrance (515); Hair (178); Bath & Body (52),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
76,eugenol,605,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,539,Fragrance (399); Hair (44); Skincare (43),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
82,octinoxate,563,Medium,2.0,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern,uv_filter,annex_iii_restricted; endocrine_disruptor,2,521,Fragrance (362); Hair (107); Makeup (25),Yellow,Moderate Risk,UV Protection,Restricted Ingredient; Hormone Disruption Risk
96,farnesol,482,Medium,2.0,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,433,Fragrance (376); Skincare (28); Bath & Body (8),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
120,salicylic acid,383,Medium,2.0,Restricted active ingredient; may irritate skin at higher concentrations,other,annex_iii_restricted; irritant,2,370,Skincare (230); Hair (107); Makeup (16),Yellow,Moderate Risk,Other,Restricted Ingredient; Skin Irritation Risk
124,cetrimonium chloride,377,Medium,2.0,Conditioning antistatic quaternary ammonium compound; irritation potential,conditioner,irritant,1,355,Hair (336); Mini Size (12); Skincare (3),Yellow,Moderate Risk,Hair Conditioner,Skin Irritation Risk
122,isoeugenol,378,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,349,Fragrance (310); Hair (21); Bath & Body (10),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
132,behentrimonium chloride,343,Medium,2.0,Conditioning antistatic quaternary ammonium compound; irritation potential,conditioner,irritant,1,327,Hair (315); Mini Size (10); Men (1),Yellow,Moderate Risk,Hair Conditioner,Skin Irritation Risk
149,cocamidopropyl betaine,306,Medium,2.0,Cleanser; ACDS 2004 Allergen of the Year; manufacturing impurities may cause allergic contact dermatitis,surfactant,sensitizer; manufacturing_impurity,2,305,Hair (174); Skincare (86); Bath & Body (34),Yellow,Moderate Risk,Cleanser / Foaming Agent,Allergy Risk; Production Contamination Risk
160,aminomethyl propanol,269,Medium,2.0,pH adjuster; formulation-related nitrosamine concern and possible irritation,ph_adjuster,nitrosamine_concern; irritant,2,262,Hair (110); Skincare (73); Makeup (56),Yellow,Moderate Risk,pH Balancer,Chemical Contamination Risk; Skin Irritation Risk
164,cinnamyl alcohol,258,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,247,Fragrance (209); Makeup (10); Skincare (8),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
184,polyquaternium-7,221,Medium,2.0,Conditioning polymer; residual impurity concern and generally low direct topical risk,conditioner,manufacturing_impurity,1,219,Hair (166); Skincare (23); Bath & Body (14),Yellow,Moderate Risk,Hair Conditioner,Production Contamination Risk
180,tromethamine,228,Medium,2.0,pH adjuster; formulation-related nitrosamine concern and possible irritation,ph_adjuster,nitrosamine_concern; irritant,2,215,Skincare (146); Makeup (40); Bath & Body (17),Yellow,Moderate Risk,pH Balancer,Chemical Contamination Risk; Skin Irritation Risk
213,cinnamal,186,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2,173,Fragrance (153); Skincare (7); Mini Size (5),Yellow,Moderate Risk,Other,Fragrance Allergen; Skin Irritation Risk
233,triethanolamine,172,Medium,2.0,pH adjuster; restricted ≤2.5% due to risk of forming cancer-causing nitrosamines,ph_adjuster,annex_iii_restricted; carcinogen_concern; nitrosamine_concern,3,167,Skincare (62); Makeup (49); Hair (16),Yellow,Moderate Risk,pH Balancer,Restricted Ingredient; Cancer Concern; Chemical Contamination Risk
