raw_ingredient,canonical_name,frequency
glycerin,glycerin,4269
phenoxyethanol,phenoxyethanol,4266
tocopherol,tocopherol,2979
linalool,linalool,2885
caprylyl glycol,caprylyl glycol,2835
limonene,limonene,2813
ethylhexylglycerin,ethylhexylglycerin,2513
dimethicone,dimethicone,2415
citric acid,citric acid,2407
silica,silica,2390
butylene glycol,butylene glycol,2321
mica,mica (ci 77019),2164
potassium sorbate,potassium sorbate,1966
caprylic/capric triglyceride,caprylic/capric triglyceride,1848
titanium dioxide (ci 77891),titanium dioxide (ci 77891),1844
water,water,1833
sodium benzoate,sodium benzoate,1814
citronellol,citronellol,1812
geraniol,geraniol,1739
tocopheryl acetate,tocopheryl acetate,1708
propanediol,propanediol,1618
sodium hyaluronate,sodium hyaluronate,1589
citral,citral,1530
benzyl alcohol,benzyl alcohol,1438
xanthan gum,xanthan gum,1373
disodium edta,disodium edta,1358
sodium hydroxide,sodium hydroxide,1345
cetearyl alcohol,cetearyl alcohol,1176
ci 77492,iron oxides (ci 77492),1147
panthenol,panthenol,1115
benzyl salicylate,benzyl salicylate,1112
bht,bht,1107
iron oxides (ci 77491,iron oxides (ci 77491),1099
aqua/water/eau,water,1089
ci 77499),iron oxides (ci 77499),1075
squalane,squalane,1059
alcohol denat,alcohol denat,1046
tin oxide,tin oxide (ci 77861),1045
water/aqua/eau,water,1043
pentylene glycol,pentylene glycol,1037
talc,talc,1035
fragrance,parfum (fragrance),985
synthetic fluorphlogopite,synthetic fluorphlogopite,976
benzyl benzoate,benzyl benzoate,972
coumarin,coumarin,946
hexyl cinnamal,hexyl cinnamal,931
alcohol,alcohol,921
2-hexanediol,2-hexanediol,919
hydroxycitronellal,hydroxycitronellal,918
zinc stearate,zinc stearate,909
sodium chloride,sodium chloride,891
parfum (fragrance),parfum (fragrance),878
glyceryl stearate,glyceryl stearate,867
helianthus annuus (sunflower) seed oil,helianthus annuus seed oil,862
alpha-isomethyl ionone,alpha-isomethyl ionone,814
fragrance (parfum),parfum (fragrance),805
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,804
parfum/fragrance,parfum (fragrance),794
carbomer,carbomer,750
butyrospermum parkii (shea) butter,shea butter,724
cetyl alcohol,cetyl alcohol,720
aqua (water),water,702
chlorphenesin,chlorphenesin,697
triethoxycaprylylsilane,triethoxycaprylylsilane,686
stearic acid,stearic acid,685
ethylhexyl palmitate,ethylhexyl palmitate,676
sodium dehydroacetate,sodium dehydroacetate,674
butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,664
iron oxides (ci 77491),iron oxides (ci 77491),659
octyldodecanol,octyldodecanol,647
hexylene glycol,hexylene glycol,633
lecithin,lecithin,619
propylene glycol,propylene glycol,619
simmondsia chinensis (jojoba) seed oil,jojoba oil,609
isododecane,isododecane,607
eugenol,eugenol,605
sodium citrate,sodium citrate,599
polysorbate 20,polysorbate 20,594
polyethylene,polyethylene,590
boron nitride,boron nitride,578
ethylhexyl methoxycinnamate,octinoxate,563
lactic acid,lactic acid,551
camellia sinensis leaf extract,camellia sinensis leaf extract,544
yellow 5 lake (ci 19140),ci 19140 (yellow 5),544
octyldodecyl stearoyl stearate,octyldodecyl stearoyl stearate,539
niacinamide,niacinamide,529
aloe barbadensis leaf juice,aloe barbadensis,526
cyclopentasiloxane,cyclopentasiloxane,515
disteardimonium hectorite,disteardimonium hectorite,505
sorbic acid,sorbic acid,502
kaolin,kaolin,500
hydrogenated polyisobutene,hydrogenated polyisobutene,499
ci 77891 (titanium dioxide),titanium dioxide (ci 77891),495
lauroyl lysine,lauroyl lysine,490
diisostearyl malate,diisostearyl malate,486
iron oxides (ci 77499),iron oxides (ci 77499),483
farnesol,farnesol,482
ethylhexyl salicylate,ethylhexyl salicylate,480
caffeine,caffeine,475
carmine (ci 75470),carmine (ci 75470),468
maltodextrin,maltodextrin,467
hydroxyethylcellulose,hydroxyethylcellulose,460
trimethylsiloxysilicate,trimethylsiloxysilicate,458
rosmarinus officinalis (rosemary) leaf extract,rosmarinus officinalis extract,454
glyceryl caprylate,glyceryl caprylate,446
