rank,canonical_name,total_mentions,variant_count,example_variants,risk_level,sub_weight,source,health_concern
1,water,6805,25,aqua | aqua (water | aqua (water) ... (+22 more),,,,
2,dimethicone,4444,31,acrylates/dimethicone copolymer | bis-stearyl dimethicone | c30-45 alkyl dimethicone ... (+28 more),,,,
3,glycerin,4393,5,glycerin | glycerin* | glycerin** ... (+2 more),,,,
4,phenoxyethanol,4266,1,phenoxyethanol,,,,
5,parfum (fragrance),4168,11,fragrance | fragrance (parfum) | fragrance / parfum ... (+8 more),,,,
6,tocopherol,3053,4,tocopherol | tocopherol acetate | tocopheryl acetate (vitamin e acetate) ... (+1 more),,,,
7,titanium dioxide (ci 77891),2925,11,+/- ci 77891 (titanium dioxide) | +/- titanium dioxide (ci 77891) | ci 77891 ... (+8 more),,,,
8,linalool,2902,2,ethyl linalool | linalool,,,,
9,limonene,2860,2,d-limonene | limonene,,,,
10,silica,2850,4,hydrated silica | silica | silica dimethyl silylate ... (+1 more),,,,
11,caprylyl glycol,2835,1,caprylyl glycol,,,,
12,ethylhexylglycerin,2513,1,ethylhexylglycerin,,,,
13,iron oxides (ci 77491),2486,13,+/- iron oxides (ci 77491 | ci 77491 | ci 77491 (iron oxides) ... (+10 more),,,,
14,citric acid,2437,2,citric acid | citric acid*,,,,
15,butylene glycol,2372,2,butylene glycol | butylene glycol dicaprylate/dicaprate,,,,
16,mica (ci 77019),2357,3,+/- mica | mica | mica (ci 77019),,,,
17,sodium hyaluronate,2215,6,hyaluronic acid | hydrolyzed hyaluronic acid | hydrolyzed sodium hyaluronate ... (+3 more),,,,
18,iron oxides (ci 77499),2133,10,ci 77499 | ci 77499 (iron oxides) | ci 77499 / iron oxides ... (+7 more),,,,
19,potassium sorbate,1966,1,potassium sorbate,,,,
20,iron oxides (ci 77492),1956,10,ci 77492 | ci 77492 (iron oxides) | ci 77492 / iron oxides ... (+7 more),,,,
21,caprylic/capric triglyceride,1863,2,caprylic/capric triglyceride | caprylic/capric triglyceride**,,,,
22,disodium edta,1826,4,disodium edta | edta | tetrasodium edta ... (+1 more),,,,
23,sodium benzoate,1814,1,sodium benzoate,,,,
24,citronellol,1812,1,citronellol,,,,
25,propanediol,1743,5,aminomethyl propanediol | dilinoleic acid/propanediol copolymer | methoxyphenyl t-butylphenyl propanediol ... (+2 more),,,,
26,geraniol,1739,1,geraniol,,,,
27,tocopheryl acetate,1708,1,tocopheryl acetate,,,,
28,citral,1530,1,citral,,,,
29,helianthus annuus seed oil,1461,13,helianthus annuus (sunflower) extract | helianthus annuus (sunflower) seed extract | helianthus annuus (sunflower) seed oil ... (+10 more),,,,
30,benzyl alcohol,1438,1,benzyl alcohol,,,,
31,alcohol denat,1412,12,alcohol denat | alcohol denat. (sd alcohol 39-c) | alcohol denat. (sd alcohol 39c) ... (+9 more),,,,
32,xanthan gum,1373,1,xanthan gum,,,,
33,ci 19140 (yellow 5),1366,11,ci 19140 (yellow 5 | ci 19140 (yellow 5 lake) | ci 19140 (yellow 5) ... (+8 more),,,,
34,sodium hydroxide,1345,1,sodium hydroxide,,,,
35,cetearyl alcohol,1189,2,cetearyl alcohol | cetearyl alcohol*,,,,
36,jojoba oil,1163,10,hydrogenated jojoba oil | hydrolyzed jojoba esters | hydrolyzed jojoba protein ... (+7 more),,,,
37,panthenol,1150,3,panthenol | panthenol (pro vitamin b5) | panthenol (vitamin b5),,,,
38,benzyl salicylate,1112,1,benzyl salicylate,,,,
39,bht,1107,1,bht,,,,
40,ascorbic acid,1106,11,2-o-ethyl ascorbic acid | 3-o-ethyl ascorbic acid | aminopropyl ascorbyl phosphate ... (+8 more),,,,
41,tin oxide (ci 77861),1072,2,tin oxide | tin oxide (ci 77861),,,,
42,shea butter,1072,12,butyrospermum parkii (shea butter) | butyrospermum parkii (shea) butter | butyrospermum parkii (shea) butter extract ... (+9 more),,,,
43,squalane,1059,1,squalane,,,,
44,pentylene glycol,1037,1,pentylene glycol,,,,
45,talc,1035,1,talc,,,,
46,aloe barbadensis,1031,10,aloe barbadensis (aloe vera) leaf extract | aloe barbadensis (aloe vera) leaf juice | aloe barbadensis (aloe vera) leaf juice* ... (+7 more),,,,
47,synthetic fluorphlogopite,976,1,synthetic fluorphlogopite,,,,
48,benzyl benzoate,972,1,benzyl benzoate,,,,
49,coumarin,946,1,coumarin,,,,
50,hexyl cinnamal,931,1,hexyl cinnamal,,,,
51,alcohol,921,1,alcohol,,,,
52,2-hexanediol,919,1,2-hexanediol,,,,
53,ci 15850 (red 7),919,11,ci 15850 (red 6 | ci 15850 (red 6 lake) | ci 15850 (red 6) ... (+8 more),,,,
54,hydroxycitronellal,918,1,hydroxycitronellal,,,,
55,zinc stearate,909,1,zinc stearate,,,,
56,sodium chloride,891,1,sodium chloride,,,,
57,glyceryl stearate,880,2,glyceryl stearate | glyceryl stearate*,,,,
58,ci 42090 (blue 1),863,9,blue 1 (ci 42090) | blue 1 lake (ci 42090) | blue 1 lake) ... (+6 more),,,,
59,propylene glycol,854,6,peg-55 propylene glycol oleate | propylene glycol | propylene glycol dibenzoate ... (+3 more),,,,
60,alpha-isomethyl ionone,814,1,alpha-isomethyl ionone,,,,
61,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,804,1,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,,,,
62,carbomer,763,2,carbomer | sodium carbomer,,,,
63,cetyl alcohol,733,2,cetyl alcohol | cetyl alcohol*,,,,
64,camellia sinensis leaf extract,725,6,camellia sinensis (green tea) leaf extract | camellia sinensis (white tea) extract | camellia sinensis (white tea) leaf extract ... (+3 more),,,,
65,butyl methoxydibenzoylmethane,716,3,avobenzone 3% | avobenzone/butyl methoxydibenzoylmethane | butyl methoxydibenzoylmethane,,,,
66,chlorphenesin,697,1,chlorphenesin,,,,
67,triethoxycaprylylsilane,686,1,triethoxycaprylylsilane,,,,
68,stearic acid,685,1,stearic acid,,,,
69,ethylhexyl palmitate,676,1,ethylhexyl palmitate,,,,
70,sodium dehydroacetate,674,1,sodium dehydroacetate,,,,
71,cocos nucifera oil,673,9,coconut oil | cocos nucifera (coconut) fruit extract | cocos nucifera (coconut) fruit juice ... (+6 more),,,,
72,octyldodecanol,647,1,octyldodecanol,,,,
73,hexylene glycol,633,1,hexylene glycol,,,,
74,lecithin,619,1,lecithin,,,,
75,isododecane,607,1,isododecane,,,,
76,eugenol,605,1,eugenol,,,,
77,sodium citrate,599,1,sodium citrate,,,,
78,ultramarines (ci 77007),595,4,ci 77007 (ultramarines) | ci 77007 / ultramarines | ultramarines (ci 77007) ... (+1 more),,,,
79,polysorbate 20,594,1,polysorbate 20,,,,
80,polyethylene,590,1,polyethylene,,,,
81,boron nitride,578,1,boron nitride,,,,
82,octinoxate,563,1,ethylhexyl methoxycinnamate,,,,
83,rosmarinus officinalis extract,562,3,rosmarinus officinalis (rosemary) leaf extract | rosmarinus officinalis (rosemary) leaf oil | rosmarinus officinalis leaf extract,,,,
84,lactic acid,551,1,lactic acid,,,,
85,carmine (ci 75470),548,3,carmine | carmine (ci 75470) | ci 75470 (carmine),,,,
86,octyldodecyl stearoyl stearate,539,1,octyldodecyl stearoyl stearate,,,,
87,niacinamide,529,1,niacinamide,,,,
88,cyclopentasiloxane,515,1,cyclopentasiloxane,,,,
89,disteardimonium hectorite,505,1,disteardimonium hectorite,,,,
90,sorbic acid,502,1,sorbic acid,,,,
91,kaolin,500,1,kaolin,,,,
92,hydrogenated polyisobutene,499,1,hydrogenated polyisobutene,,,,
93,lauroyl lysine,490,1,lauroyl lysine,,,,
94,manganese violet (ci 77742),487,3,ci 77742 (manganese violet) | manganese violet (ci 77742) | manganese violet ci 77742,,,,
95,diisostearyl malate,486,1,diisostearyl malate,,,,
96,farnesol,482,1,farnesol,,,,
97,ethylhexyl salicylate,480,1,ethylhexyl salicylate,,,,
98,caffeine,475,1,caffeine,,,,
99,maltodextrin,467,1,maltodextrin,,,,
100,hydroxyethylcellulose,460,1,hydroxyethylcellulose,,,,
101,trimethylsiloxysilicate,458,1,trimethylsiloxysilicate,,,,
102,glyceryl caprylate,446,1,glyceryl caprylate,,,,
103,synthetic wax,440,1,synthetic wax,,,,
104,sodium pca,437,1,sodium pca,,,,
105,dipropylene glycol,433,1,dipropylene glycol,,,,
106,polybutene,428,1,polybutene,,,,
107,polysorbate 60,426,1,polysorbate 60,,,,
108,acrylates/c10-30 alkyl acrylate crosspolymer,420,1,acrylates/c10-30 alkyl acrylate crosspolymer,,,,
109,sorbitan isostearate,420,1,sorbitan isostearate,,,,
110,polymethylsilsesquioxane,418,1,polymethylsilsesquioxane,,,,
111,nylon-12,416,1,nylon-12,,,,
112,butylphenyl methylpropional,408,1,butylphenyl methylpropional,,,,
113,hydroxyacetophenone,405,1,hydroxyacetophenone,,,,
114,persea gratissima oil,403,4,persea gratissima (avocado) butter | persea gratissima (avocado) fruit extract | persea gratissima (avocado) oil ... (+1 more),,,,
115,leuconostoc/radish root ferment filtrate,400,1,leuconostoc/radish root ferment filtrate,,,,
116,bismuth oxychloride (ci 77163),399,3,bismuth oxychloride | bismuth oxychloride (ci 77163) | ci 77163 (bismuth oxychloride),,,,
117,sodium phytate,393,1,sodium phytate,,,,
118,propylene carbonate,393,1,propylene carbonate,,,,
119,hydrogenated lecithin,388,1,hydrogenated lecithin,,,,
120,salicylic acid,383,3,capryloyl salicylic acid | salicylic acid | salicylic acid 2%,,,,
121,aluminum hydroxide,379,1,aluminum hydroxide,,,,
122,isoeugenol,378,1,isoeugenol,,,,
123,calcium sodium borosilicate,377,1,calcium sodium borosilicate,,,,
124,cetrimonium chloride,377,2,cetrimonium chloride | cetrimonium chloride*,,,,
125,isopropyl alcohol,374,1,isopropyl alcohol,,,,
126,ci 45410 (red 28),372,8,ci 45410 (red 27 | ci 45410 (red 28 lake) | red 27 (ci 45410) ... (+5 more),,,,
127,phenyl trimethicone,371,1,phenyl trimethicone,,,,
128,argania spinosa kernel oil,366,4,argania spinosa (argan) kernel oil | argania spinosa (argan) kernel oil* | argania spinosa kernel oil ... (+1 more),,,,
129,benzoic acid,358,1,benzoic acid,,,,
130,ci 15985 (yellow 6),353,7,ci 15985 (yellow 6 | ci 15985 (yellow 6 lake) | ci 15985 (yellow 6) ... (+4 more),,,,
131,ci 14700 (red 4),352,5,ci 14700 (red 4) | ci 14700 / red 4 | ci 14700/red 4 ... (+2 more),,,,
132,behentrimonium chloride,343,1,behentrimonium chloride,,,,
133,bis-diglyceryl polyacyladipate-2,343,1,bis-diglyceryl polyacyladipate-2,,,,
134,arginine,340,1,arginine,,,,
135,trehalose,340,1,trehalose,,,,
136,acrylates copolymer,339,1,acrylates copolymer,,,,
137,ci 60730 (ext violet 2),339,6,ci 60730 (ext. violet 2) | ci 60730 (violet 2) | ci 60730 / ext. violet 2 ... (+3 more),,,,
138,calcium aluminum borosilicate,333,1,calcium aluminum borosilicate,,,,
139,allantoin,329,1,allantoin,,,,
140,coco-caprylate/caprate,328,1,coco-caprylate/caprate,,,,
141,alumina,328,1,alumina,,,,
142,palmitic acid,327,1,palmitic acid,,,,
