variant_group,ingredient_variant,frequency
water,(water,1
water,* water/eau/aqua,7
water,\raqua (water),1
water,adwoa blue tansy reparative mask water (aqua),1
water,alcohol denat /aqua/eau,1
water,aloe barbadensis leaf water,26
water,anthemis nobilis flower water,3
water,aphanizomenon flos-aquae extract,4
water,aqua,49
water,aqua (water,210
water,aqua (water / eau),1
water,aqua (water),702
water,aqua (water) butylene glycol,1
water,aqua (water) c9-12 alkane,1
water,aqua (water)**,6
water,aqua (water). may contain (+/-) ci 77491 (iron oxides),1
water,aqua (water)dihydroxyacetone,1
water,aqua (water/ eau),2
water,aqua (water/eau),46
water,aqua - water - eau,2
water,aqua / water,84
water,aqua / water / eau,124
water,aqua / water glycerin dimethicone squalane bis-peg-18 methyl ether dimethyl silane sucrose stearate stearyl alcohol peg-8 stearate myristyl myristate prunus armeniaca kernel oil / apricot kernel oil phenoxyethanol persea gratissima oil / avocado oil glyceryl stearate cetyl alcohol oryza sativa bran oil / rice bran oil olea europaea fruit oil / olive fruit oil chlorphenesin stearic acid palmitic acid carbomer acrylates/c10-30 alkyl acrylate crosspolymer trisodium ethylenediamine disuccinate prunus amygdalus dulcis oil / sweet almond oil xanthan gum ethylhexylglycerin sodium hydroxide tocopherol c1 - internal use glycine soja oil / soybean oil pseudoalteromonas ferment extract myristic acid hydroxypalmitoyl sphinganine salicylic acid helianthus annuus seed oil / sunflower seed oil rosmarinus officinalis leaf extract / rosemary leaf extract citric acid,2
water,aqua / water linalool,1
water,aqua /water,3
water,aqua /water/eau,1
water,aqua ‑water,2
water,aqua(water,2
water,aqua(water),5
water,aqua/water,176
water,aqua/water /eau,1
water,aqua/water paraffin potassium cetyl phosphate copernicia cerifera cera/carnauba wax ethylene/acrylic acid copolymer styrene/acrylates/ammonium methacrylate copolymer cera alba/beeswax synthetic beeswax bis-diglyceryl polyacyladipate-2 polybutene cetyl alcohol steareth-20 glyceryl dibehenate steareth-2 c12-13 pareth-23 c12-13 pareth-3 tribehenin acacia senegal gum glyceryl behenate sodium laureth sulfate silica divinyldimethicone/dimethicone copolymer disodium edta hydrogenated jojoba oil hydrogenated palm oil hydroxyethylcellulose caprylyl glycol tetrasodium edta ethylenediamine/stearyl dimer dilinoleate copolymer butylene glycol bht pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate potassium sorbate sodium dehydroacetate phenoxyethanol may contain ci 75470/carmine ci 77007 /ultramarines ci 77491,1
water,aqua/water. sodium laureth sulfate. coco-betaine. laureth-5 carboxylic acid. cocamide mipa. imodimethicone. sodium chloride. polyquaternium-10. ppg-5-ceteth-20. sodium benzoate. benzophenone-4. peg-55 propylene glycol oleate. propylene glycol. salicylic acid. sodium hydroxide. benzyl salicylate. benzyl alcohol. citronellol. linalool. methyl cocoate. geraniol. sodium cocoate. shorea robusta butter. shorea robusta seed butter. ci 19140/yellow 5. ci 14700/red 4. citric acid. parfum/fragrance,1
water,aqua/water/ eau,4
water,aqua/water/eau,1089
water,aqua/water/eau coco-caprylate/caprate hydrogenated polyisobutene glycerin,1
water,aqua/water/eau geraniol,1
water,aqua/water/eau limonene,1
water,aquaxyltm,1
water,astrocaryum murumuru water/aqua/eau,1
water,beautyblender sponge,1
water,benzyl alcohol. vegamour gro revitalizing conditioner water,1
water,botanical blend aqua,2
water,c263869/1 aqua / water / eau,1
water,c263871/1 aqua / water / eau,1
water,carthamus tinctorius (safflower) seed extract. color wow dream coat supernatural spray aqua/water,1
water,centaurea cyanus flower water,29
water,centella asiatica leaf water,4
water,chamaecyparis obtusa water,3
