risk_category,matched_ingredient,frequency
parabens,100% cotton wick. paraben,1
parabens,100% cotton wick. paraben-,14
parabens,butylparaben,13
parabens,ethylparaben,30
parabens,isobutylparaben,3
parabens,isopropylparaben,3
parabens,methylparaben,162
parabens,methylparaben phenoxyethanol,1
parabens,n-butylparaben,3
parabens,paraben,1
parabens,propylparaben,94
parabens,propylparaben tetrasodium edta,1
parabens,sodium methylparaben,6
phthalates,6-naphthalate,1
phthalates,c264217/1 polyethylene terephthalate,1
phthalates,made from high-quality pvc (vinyl). free from harmful chemicals such as phthalates,1
phthalates,phthalate,1
phthalates,phthalate and cruelty-free,1
phthalates,phthalate-,14
phthalates,phthalate-free fragrance,5
phthalates,phthalates free fragrance,10
phthalates,polybutylene terephthalate,15
phthalates,polyethylene terephthalate,49
phthalates,polyethylene terephthalate synthetic fluorphlogopite,1
formaldehyde releasers,diazolidinyl urea,20
formaldehyde releasers,dmdm hydantoin,14
formaldehyde releasers,formaldehyde cyclododecyl ethyl acetal,1
formaldehyde releasers,formaldehyde cyclododecyl ethyl acetal (woody note/safe synthetic),3
formaldehyde releasers,imidazolidinyl urea,4
formaldehyde releasers,quaternium-15,2
fragrance,(fragrance),3
fragrance,*fragrance (parfum),1
fragrance,2 hexanediol parfum (fragrance),1
fragrance,\rparfum (fragrance),1
fragrance,alcohol denat. parfum (fragrance),2
fragrance,all natural fragrance,1
fragrance,amber musk fragrance,1
fragrance,amber musk fragrance (parfum),2
fragrance,and fragrance with a cotton wick,5
fragrance,and fragrance/parfum*,1
fragrance,aqua/water. sodium laureth sulfate. coco-betaine. laureth-5 carboxylic acid. cocamide mipa. imodimethicone. sodium chloride. polyquaternium-10. ppg-5-ceteth-20. sodium benzoate. benzophenone-4. peg-55 propylene glycol oleate. propylene glycol. salicylic acid. sodium hydroxide. benzyl salicylate. benzyl alcohol. citronellol. linalool. methyl cocoate. geraniol. sodium cocoate. shorea robusta butter. shorea robusta seed butter. ci 19140/yellow 5. ci 14700/red 4. citric acid. parfum/fragrance,1
fragrance,argania spinosa kernel oil ψ fragrance,1
fragrance,aromatics perfume (parfum),1
fragrance,bobbi brown beach fragrance,1
fragrance,brj fragrance,3
fragrance,cashmere mist fragrance,4
fragrance,citronellol (eu fragrance allergen),1
fragrance,citrus aurantium bergamia (bergamot) fruit fragrance,2
fragrance,citrus aurantium dulcis (orange) peel oil fragrance,4
fragrance,clinique happy for men fragrance,1
fragrance,clinique happy heart fragrance (parfum),1
fragrance,clinique happy perfume (parfum),1
fragrance,coumarin (eu fragrance allergen),3
fragrance,ethylhexylglycerin parfum (fragrance),1
fragrance,fragrance,985
fragrance,fragrance (natural),6
fragrance,fragrance (parfum),805
fragrance,fragrance (parfum)**,4
fragrance,fragrance (parfum). (10-16-35826),1
fragrance,fragrance (parfum). *coconut,1
fragrance,fragrance / parfum,55
fragrance,fragrance /parfum,1
fragrance,fragrance <iln35606>,1
fragrance,fragrance <iln36744>,1
fragrance,fragrance <iln37671>,1
fragrance,fragrance <iln39219>,1
fragrance,fragrance <iln39583>,1
fragrance,fragrance oil,17
fragrance,fragrance parfum,3
fragrance,fragrance(parfum),10
fragrance,fragrance**,1
fragrance,fragrance*. *plant origin,1
