product_id,product_name,brand_name,ingredients,ingredients_parsed,ingredient_count_check
P438628,Contouring + De-Puffing Rose Quartz Roller,BeautyBio,['100% Brazilian Rose Quartz.'],100% brazilian rose quartz,1
P438630,Contouring + De-Puffing Rose Quartz GloPRO Attachment Head,BeautyBio,['100% Brazilian Rose Quartz.'],100% brazilian rose quartz,1
P228913,ORIGINAL BEAUTYBLENDER Makeup Sponge,beautyblender,['Non-latex foam.'],non-latex foam,1
P429235,BEAUTYBLUSHER Makeup Sponge,beautyblender,['Latex Free Polyurethane Foam.'],latex free polyurethane foam,1
P468345,Biopure Sustainable Green Makeup Sponge,beautyblender,['Non-Latex Foam.'],non-latex foam,1
P500981,Dream Makeup Sponge,beautyblender,['Beautyblender sponge'],beautyblender sponge,1
P416564,100% Sugarcane Squalane Oil,Biossance,['Squalane Oil.'],squalane oil,1
P270551,Skin Foundation SPF 15,Bobbi Brown,"['Octinoxate 7.50%, Titanium Dioxide 1.00%']",octinoxate 7.50% | titanium dioxide 1.00%,2
P501743,Slow Burn Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501742,LES Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501703,"Cameo, Hinoki Fantôme, LES Mini Candle Trio Set",Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501764,Cashmere Kush Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501212,Mini Candle Trio Set,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501740,Hinoki Fantôme Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501753,Copal Fantome Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501718,Broken Rosary Candle,Boy Smells,['All-Natural Coconut-Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut-beeswax blend. paraffin-free. 100% braided cotton wick,1
P501720,Polyamberous Candle,Boy Smells,['All-natural coconut and beeswax blend. Paraffin-free. 100% braided cotton wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501750,Kush Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501737,Cedar Stack Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501739,Cameo Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501724,Thé Fantôme Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501757,Incensorial Candle,Boy Smells,['All-Natural Coconut-Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut-beeswax blend. paraffin-free. 100% braided cotton wick,1
P501770,Figurare Candle,Boy Smells,['All-Natural Coconut-Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut-beeswax blend. paraffin-free. 100% braided cotton wick,1
P501754,Lanai Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501735,Neopeche Candle,Boy Smells,['All-natural coconut and beeswax blend. Paraffin-free. 100% braided cotton wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P501702,Fleurshadow Candle,Boy Smells,['All-Natural Coconut and Beeswax Blend. Paraffin-Free. 100% Braided Cotton Wick.'],all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,1
P469027,100% Macadamia-Oil Concentrate Fragrance Free for Hair and Body,BREAD BEAUTY SUPPLY,['Macadamia Integrifolia Seed Oil.'],macadamia integrifolia seed oil,1
P458943,"Be Gentle, Be Kind Avocado + Kiwi Mega Moisture Superfoods Hair Mask",Briogeo,['Avocado: Contains a robust fatty-acid composition that nourishes and conditions hair.'],contains a robust fatty-acid composition that nourishes and conditions hair,1
P461430,"Be Gentle, Be Kind Aloe + Oat Milk Ultra Soothing Fragrance-Free Detangler",Briogeo,['Aloe Vera: Contains vitamins and minerals that are known to provide anti-microbial and irritation-minimizing benefits.'],contains vitamins and minerals that are known to provide anti-microbial and irritation-minimizing benefits,1
P446341,Superfoods Banana + Coconut Nourishing Conditioner,Briogeo,['Banana: Contains potassium and antioxidants to nurture and protect hair. -'],contains potassium and antioxidants to nurture and protect hair. -,1
P434008,Eye Smudger Brush,Charlotte Tilbury,['Synthetic Bristles.'],synthetic bristles,1
P392245,Virgin Marula Luxury Face Oil,Drunk Elephant,['100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.'],100% unrefined sclerocraya birrea (marula) kernel oil,1
P424378,Mini Virgin Marula LuxuryFace Oil,Drunk Elephant,['100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.'],100% unrefined sclerocraya birrea (marula) kernel oil,1
P463287,ISO GAMMA SUPER Eau de Parfum Travel Spray,Ellis Brooklyn,"['Alcohol denat., Parfum (fragrance).']",alcohol denat | parfum (fragrance),2
P453911,ISO GAMMA SUPER Eau de Parfum,Ellis Brooklyn,"['Alcohol denat., Parfum (fragrance).']",alcohol denat | parfum (fragrance),2
P500416,Magnetic Half Lashes,Glamnetic,['High-Quality Synthetic Fiber.'],high-quality synthetic fiber,1
