ingredient,issue,frequency,length
saccharomyces/camellia sinensis leaf/cladosiphon okamuranus/rice ferment filtrate*,unusually long,27,82
eucheuma serra/grateloupia sparsa/saccharina angustata/ulva linza/undaria pinnatifida extract,unusually long,11,93
vegetable wax blend containing hydrogenated soybean oil (cas 8016-70-4 soybean) and hydrogenated coconut oil (cas 84836-98-6 coconut oil),unusually long,8,137
rosmarinus officinalis (rosemary) leaf extract (rosmarinus officinalis leaf extract),unusually long,6,84
euphorbia cerifera (candelilla) wax/candelilla cera hydrocarbons/cire de candelilla,unusually long,5,83
glycidoxypropyl trimethoxysilane/ methacryloyl propyltrimethoxysilane /methyltriethoxysilane /mercaptopropyltrimethoxysilane,unusually long,3,124
helianthus annuus (sunflower) seed oil (and) rosmarinus officinalis (rosemary) leaf extract,unusually long,3,91
saccharum officinarum (sugarcane) extract/saccharum officinarum/extrait de canne a sucre,unusually long,3,88
aqua / water glycerin dimethicone squalane bis-peg-18 methyl ether dimethyl silane sucrose stearate stearyl alcohol peg-8 stearate myristyl myristate prunus armeniaca kernel oil / apricot kernel oil phenoxyethanol persea gratissima oil / avocado oil glyceryl stearate cetyl alcohol oryza sativa bran oil / rice bran oil olea europaea fruit oil / olive fruit oil chlorphenesin stearic acid palmitic acid carbomer acrylates/c10-30 alkyl acrylate crosspolymer trisodium ethylenediamine disuccinate prunus amygdalus dulcis oil / sweet almond oil xanthan gum ethylhexylglycerin sodium hydroxide tocopherol c1 - internal use glycine soja oil / soybean oil pseudoalteromonas ferment extract myristic acid hydroxypalmitoyl sphinganine salicylic acid helianthus annuus seed oil / sunflower seed oil rosmarinus officinalis leaf extract / rosemary leaf extract citric acid,unusually long,2,861
mica; titanium dioxide (ci 77891); iron oxides (ci 77491; ci 77492; ci 77499); blue 1 lake (ci 42090); yellow 5 lake (ci 19140); red 6 (ci 15850); red 7 lake (ci 15850); red 28 lake (ci 45410); red 30 lake (ci 73360); red 33 lake (ci 17200),unusually long,2,240
hydrogenated didecene isododecane hydrogenated polyisobutene mica hydrogenated polycyclopentadiene hydrogenated styrene/isoprene copolymer triethoxycaprylylsilane 1,unusually long,2,164
pseudozyma epicola/argania spinosa kernel oil/olive fruit oil/sunflower seed oil/(angelica gigas/licorice/lithospermum erythrorhizon) root ferment extract filtrate,unusually long,2,163
2-hexanediol xanthan gum chondrus crispus (carrageenan) hydrogenated lecithin sodium citrate titanium dioxide (ci 77891) iron oxides (ci 77491),unusually long,2,143
organic ginger (root) (zingiber officinale) organic cinnamon powder (bark) (cinnamomum cassia) organic turmeric powder (root) (curcuma longa),unusually long,2,141
pseudozyma epicola/camellia sinensis seed oil/glucose/glycine soja (soybean) meal/malt extract/yeast extract ferment filtrate,unusually long,2,125
helianthus annuus (sunflower) seed oil unsaponifiables/helianthus annuus seed oil unsaponifiables,unusually long,2,97
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate.  +/- ci 77891 (titanium dioxide),unusually long,2,88
saccharum officinarum (sugarcane) extract/saccharum officinarum/extrait de canne à sucre,unusually long,2,88
made from 100% highest grade (6a) long fiber mulberry silk with a thickness of 22 momme,unusually long,2,87
2-6-methyl-8-(1-methylethyl)bicyclo2.2.2oct-5-en-2-yl- (floral note / safe synthetic),unusually long,2,85
diisostearyl malate octyldodecanol triisodecyl trimellitate polybutene polyethylene,unusually long,2,83
rosmarinus officinalis (rosemary) leaf extract/rosmarinus officinalis leaf extract,unusually long,2,82
tetrahydro-4-methyl-2-(2-methylpropyl)- (lily of the valley note / safe synthetic),unusually long,2,82
pentaerythrityl tetra-di-t-butyl-hydroxyhydrocinnamate (functional / antioxidant),unusually long,2,81
saccharomyces/camellia sinensis leaf/cladosiphonokamuranus/rice ferment filtrate*,unusually long,2,81
0.04548%,percentage value,2,8
0.0018%,percentage value,2,7
(+/-),no alphanumeric characters,2,5
75%,percentage value,2,3
synthetic fluorphlogopite  calcium aluminum borosilicate  caprylic/capric triglyceride  squalane  dimethicone  silica  dicalcium phosphate  zinc stearate  calcium sodium borosilicate  trimethylsiloxysilicate  dimethicone/vinyl dimethicone crosspolymer  hydrogenated styrene/ isoprene copolymer  tocopheryl acetate  zea mays (corn) starch  glycerin  ethylhexylglycerin  caprylyl glycol  c20-24 olefin  calcium titanium borosilicate  tin oxide  alumina  triethoxycaprylylsilane  laureth-4  pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate  +/- mica  titanium dioxide (ci 77891)  iron oxides (ci 77491)  iron oxides (ci 77492)  iron oxides (ci 77499)  aluminum powder (ci 77000)  bismuth oxychloride (ci 77163)  bronze powder (ci 77400)  carmine (ci 75470)  chromium hydroxide green (ci 77289)  chromium oxide greens (ci 77288)  copper powder (ci 77400)  ferric ammonium ferrocyanide (ci 77510)  ferric ferrocyanide (ci 77510)  manganese violet (ci 77742)  ultramarines (ci 77007)  blue 1 lake (ci 42090)  yellow 5 lake (ci 19140),unusually long,1,1033
ridecyl trimellitate trimethylolpropane triisostearate polybutene octyldodecanol microcrystalline wax (cera microcristallina) hydrogenated polyisobutene vp/eicosene copolymer caprylic/capric triglyceride polyethylene mica stearalkonium bentonite silica hydrogenated styrene/butadiene copolymer phytosteryl isostearate propylene carbonate pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate ethyl vanillin dicalcium phosphate rubus idaeus (raspberry) leaf extract rubus idaeus leaf extract calcium aluminum borosilicate aluminum calcium sodium silicate calcium titanium borosilicate alumina calcium sodium borosilicate synthetic fluorphlogopite tin oxide titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) blue 1 lake (ci 42090) yellow 5 lake (ci 19140) red 6 (ci 15850) red 7 lake (ci 15850),unusually long,1,817
aqua/water paraffin potassium cetyl phosphate copernicia cerifera cera/carnauba wax ethylene/acrylic acid copolymer styrene/acrylates/ammonium methacrylate copolymer cera alba/beeswax synthetic beeswax bis-diglyceryl polyacyladipate-2 polybutene cetyl alcohol steareth-20 glyceryl dibehenate steareth-2 c12-13 pareth-23 c12-13 pareth-3 tribehenin acacia senegal gum glyceryl behenate sodium laureth sulfate silica divinyldimethicone/dimethicone copolymer disodium edta hydrogenated jojoba oil hydrogenated palm oil hydroxyethylcellulose caprylyl glycol tetrasodium edta ethylenediamine/stearyl dimer dilinoleate copolymer butylene glycol bht pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate potassium sorbate sodium dehydroacetate phenoxyethanol may contain ci 75470/carmine ci 77007 /ultramarines ci 77491,unusually long,1,812
