canonical_name,risk_level,sub_weight,source,health_concern,products_containing,top_primary_categories
butylphenyl methylpropional,High,3.0,EU Annex II / Reg. 2021/1902,Reproductive toxin; BANNED in EU since 1 March 2022,387,Hair (145); Fragrance (141); Skincare (38)
hydroxyisohexyl 3-cyclohexene carboxaldehyde,High,3.0,EU Annex II / 2017/1410,Extreme skin sensitizer; BANNED in EU since August 2021,88,Hair (35); Fragrance (27); Bath & Body (9)
parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required,3566,Fragrance (1112); Hair (1080); Skincare (738)
geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,1527,Fragrance (821); Skincare (298); Hair (224)
citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,1360,Fragrance (800); Skincare (222); Hair (179)
benzyl alcohol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,1265,Fragrance (497); Hair (374); Skincare (211)
bht,Medium,2.0,Cosing EU,Antioxidant reviewed for EDC; safe at ≤0.8 %,1015,Fragrance (322); Skincare (225); Makeup (205)
benzyl salicylate,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,1000,Fragrance (567); Hair (217); Skincare (84)
coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,858,Fragrance (564); Hair (160); Bath & Body (67)
hydroxycitronellal,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,833,Fragrance (515); Hair (178); Bath & Body (52)
eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,539,Fragrance (399); Hair (44); Skincare (43)
octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern,521,Fragrance (362); Hair (107); Makeup (25)
farnesol,Medium,2.0,EU SCCS; FDA,Fragrance allergen; may cause skin reactions,433,Fragrance (376); Skincare (28); Bath & Body (8)
salicylic acid,Medium,2.0,EU Annex III,Restricted active ingredient; may irritate skin at higher concentrations,370,Skincare (230); Hair (107); Makeup (16)
cetrimonium chloride,Medium,2.0,EU Annex V,Conditioning antistatic quaternary ammonium compound; irritation potential,355,Hair (336); Mini Size (12); Skincare (3)
isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,349,Fragrance (310); Hair (21); Bath & Body (10)
behentrimonium chloride,Medium,2.0,EU Annex V,Conditioning antistatic quaternary ammonium compound; irritation potential,327,Hair (315); Mini Size (10); Men (1)
cocamidopropyl betaine,Medium,2.0,Cosing EU;  PubMed,Cleanser; ACDS 2004 Allergen of the Year; manufacturing impurities may cause allergic contact dermatitis,305,Hair (174); Skincare (86); Bath & Body (34)
aminomethyl propanol,Medium,2.0,Cosing EU; IARC,pH adjuster; formulation-related nitrosamine concern and possible irritation,262,Hair (110); Skincare (73); Makeup (56)
cinnamyl alcohol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,247,Fragrance (209); Makeup (10); Skincare (8)
polyquaternium-7,Medium,2.0,Cosing EU; IARC,Conditioning polymer; residual impurity concern and generally low direct topical risk,219,Hair (166); Skincare (23); Bath & Body (14)
tromethamine,Medium,2.0,Cosing EU; IARC,pH adjuster; formulation-related nitrosamine concern and possible irritation,215,Skincare (146); Makeup (40); Bath & Body (17)
cinnamal,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions,173,Fragrance (153); Skincare (7); Mini Size (5)
