rank,canonical_name,total_mentions,risk_level,sub_weight,health_concern,function_tag,concern_tag_list,n_concern_tags
112,butylphenyl methylpropional,408,High,3.0,Reproductive toxin; BANNED in EU since 1 March 2022,other,eu_banned; reproductive_toxin,2
396,hydroxyisohexyl 3-cyclohexene carboxaldehyde,89,High,3.0,Extreme skin sensitizer; BANNED in EU since August 2021,other,eu_banned; sensitizer,2
5,parfum (fragrance),4168,Medium,2.0,Undisclosed allergen mixture; declaration required,other,fragrance_allergen,1
26,geraniol,1739,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
28,citral,1530,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
30,benzyl alcohol,1438,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
38,benzyl salicylate,1112,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
39,bht,1107,Medium,2.0,Antioxidant reviewed for EDC; safe at ≤0.8 %,antioxidant,endocrine_disruptor,1
49,coumarin,946,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
54,hydroxycitronellal,918,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
76,eugenol,605,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
82,octinoxate,563,Medium,2.0,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern,uv_filter,annex_iii_restricted; endocrine_disruptor,2
96,farnesol,482,Medium,2.0,Fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
120,salicylic acid,383,Medium,2.0,Restricted active ingredient; may irritate skin at higher concentrations,other,annex_iii_restricted; irritant,2
122,isoeugenol,378,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
124,cetrimonium chloride,377,Medium,2.0,Conditioning antistatic quaternary ammonium compound; irritation potential,conditioner,irritant,1
132,behentrimonium chloride,343,Medium,2.0,Conditioning antistatic quaternary ammonium compound; irritation potential,conditioner,irritant,1
149,cocamidopropyl betaine,306,Medium,2.0,Cleanser; ACDS 2004 Allergen of the Year; manufacturing impurities may cause allergic contact dermatitis,surfactant,sensitizer; manufacturing_impurity,2
160,aminomethyl propanol,269,Medium,2.0,pH adjuster; formulation-related nitrosamine concern and possible irritation,ph_adjuster,nitrosamine_concern; irritant,2
164,cinnamyl alcohol,258,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
180,tromethamine,228,Medium,2.0,pH adjuster; formulation-related nitrosamine concern and possible irritation,ph_adjuster,nitrosamine_concern; irritant,2
184,polyquaternium-7,221,Medium,2.0,Conditioning polymer; residual impurity concern and generally low direct topical risk,conditioner,manufacturing_impurity,1
213,cinnamal,186,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
223,citrus limon (lemon) fruit extract,178,Medium,2.0,Lemon extract; contains furocoumarins; allowed only at natural levels; may cause skin burns with sun exposure,plant_extract,photosensitizer; irritant,2
233,triethanolamine,172,Medium,2.0,pH adjuster; restricted ≤2.5% due to risk of forming cancer-causing nitrosamines,ph_adjuster,annex_iii_restricted; carcinogen_concern; nitrosamine_concern,3
247,methylparaben,162,Medium,2.0,"Preservative;
permitted with concentration limits; SCCS
reviewed endocrine-related concerns",preservative,annex_iii_restricted; endocrine_disruptor,2
268,amyl cinnamal,141,Medium,2.0,Recognized fragrance allergen; may cause skin reactions,other,fragrance_allergen; irritant,2
282,benzophenone-4,136,Medium,2.0,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern,uv_filter,annex_iii_restricted; endocrine_disruptor,2
300,retinyl palmitate,124,Medium,2.0,Restricted to 0.05 % RE body lotion / 0.3 % other,other,annex_iii_restricted,1
318,citrus limon (lemon) peel oil,119,Medium,2.0,Lemon peel essential oil; may cause skin burns with sun exposure,other,photosensitizer; irritant,2
327,pelargonium graveolens flower oil,115,Medium ,2.0,Geranium essential oil; fragrance allergens; may cause skin reactions,other,fragrance_allergen; irritant,2
355,menthol,105,Medium,2.0,Cooling agents; may sensitize/ irritate sensitive skin or eyes,other,sensitizer; irritant,2
