product_id,raw_ingredient,canonical_name,risk_level,sub_weight,source,health_concern
P473671,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473671,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473671,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473671,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473671,benzyl salicylate,benzyl salicylate,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473671,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473671,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473671,benzl benzoate,,Unclassified,,,
P473671,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,geraniol,geraniol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,benzyl alcohol,benzyl alcohol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,farnesol,farnesol,Medium,2.0,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473671,citronellol,citronellol,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473671,isoeugenol,isoeugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,benzyl benzoate,benzyl benzoate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473671,coumarin,coumarin,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473671,alpha-isomethyl ionone,alpha-isomethyl ionone,Low-Medium,1.5,Cosing EU,Recognized fragrance allergen; may cause skin reactions
P473671,cinnamal,cinnamal,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473671,linalool citral,,Unclassified,,,
P473671,alphaisomethyl ionone,,Unclassified,,,
P473671,geraniol farnesol,,Unclassified,,,
P473671,benzyl cinnamate,benzyl cinnamate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473671,coumarin limonene,,Unclassified,,,
P473671,octoxynol-10,,Unclassified,,,
P473671,hexyl cinnamal,hexyl cinnamal,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473668,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473668,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473668,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473668,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473668,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473668,benzyl alcohol,benzyl alcohol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473668,benzyl benzoate,benzyl benzoate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473668,benzyl cinnamate,benzyl cinnamate,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473668,cinnamal,cinnamal,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473668,citral,citral,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473668,coumarin limonene,,Unclassified,,,
P473668,eugenol,eugenol,Medium,2.0,EU SCCS; FDA,Recognized fragrance allergen; may cause skin reactions
P473668,alpha-isomethyl ionone,alpha-isomethyl ionone,Low-Medium,1.5,Cosing EU,Recognized fragrance allergen; may cause skin reactions
P473668,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473662,alcohol denat. (sd alcohol 39c),alcohol denat,Low-Medium,1.5,Cosing EU,Drying with prolonged use
P473662,parfum (fragrance),parfum (fragrance),Medium,2.0,Cosing EU,Undisclosed allergen mixture; declaration required
P473662,d-limonene,limonene,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
P473662,ethylhexyl methoxycinnamate,octinoxate,Medium,2.0,EU Annex VI; SCCS,UV filter; permitted with concentration limits; SCCS reviewed endocrine-related concern
P473662,butyl methoxydibenzoylmethane,butyl methoxydibenzoylmethane,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473662,ethylhexyl salicylate,ethylhexyl salicylate,Low-Medium,1.5,EU Annex VI,UV filter; permitted with concentration limits
P473662,hexyl cinnamal citronellol,,Unclassified,,,
P473662,linalool,linalool,Low-Medium,1.5,EU SCCS; FDA,Fragrance allergen; may cause skin reactions
