Survey_Phase,Section,Question_ID,Question,Response_Category_or_Statistic,Frequency,Percentage,Mean,Positive_Response_Percentage,Base_N,Notes
Pre-Survey,Sample Information,PRE-N,Main pre-survey sample,Included responses,200,100.0,,,200,All 200 pre-survey responses were included.
Post-Survey,Sample Information,POST-N,Main post-survey sample,Included responses,200,100.0,,,200,The first five of 205 post-survey records were completed-dashboard pilot responses and were excluded from the main analysis.
Pre-Survey,Demographic Profile,D1,Age,Below 18,0,0.0,,,200,
Pre-Survey,Demographic Profile,D1,Age,18 - 20,63,31.5,,,200,
Pre-Survey,Demographic Profile,D1,Age,21 - 23,113,56.5,,,200,
Pre-Survey,Demographic Profile,D1,Age,24 - 25,23,11.5,,,200,
Pre-Survey,Demographic Profile,D1,Age,Above 25,1,0.5,,,200,
Pre-Survey,Demographic Profile,D2,Gender,Female,199,99.5,,,200,
Pre-Survey,Demographic Profile,D2,Gender,Male,0,0.0,,,200,
Pre-Survey,Demographic Profile,D2,Gender,Prefer not to say,1,0.5,,,200,
Pre-Survey,Demographic Profile,D3,Education Level,High School / Pre-University / Foundation,50,25.0,,,200,
Pre-Survey,Demographic Profile,D3,Education Level,Undergraduate,139,69.5,,,200,
Pre-Survey,Demographic Profile,D3,Education Level,Postgraduate,11,5.5,,,200,
Pre-Survey,Demographic Profile,D4,Frequency of Cosmetic Use,Daily,37,18.5,,,200,
Pre-Survey,Demographic Profile,D4,Frequency of Cosmetic Use,2-3 times a week,81,40.5,,,200,
Pre-Survey,Demographic Profile,D4,Frequency of Cosmetic Use,Weekly,62,31.0,,,200,
Pre-Survey,Demographic Profile,D4,Frequency of Cosmetic Use,Rarely,20,10.0,,,200,
Pre-Survey,Baseline Knowledge,Q1,What is the main purpose of using cosmetics?,Improve beauty,150,75.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q1,What is the main purpose of using cosmetics?,Protection,9,4.5,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q1,What is the main purpose of using cosmetics?,Enjoyment or self-expression,108,54.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q1,What is the main purpose of using cosmetics?,Cleaning / correction of body smells,51,25.5,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q2,"Are you aware that some cosmetic ingredients can cause skin irritation, allergies, or other health effects?",Yes,96,48.0,,,200,
Pre-Survey,Baseline Knowledge,Q2,"Are you aware that some cosmetic ingredients can cause skin irritation, allergies, or other health effects?",No,104,52.0,,,200,
Pre-Survey,Baseline Knowledge,Q3,Have you experienced any health problems after using cosmetic products?,Yes,86,43.0,,,200,
Pre-Survey,Baseline Knowledge,Q3,Have you experienced any health problems after using cosmetic products?,No,114,57.0,,,200,
Pre-Survey,Baseline Knowledge,Q4,"If yes, what type of problem did you experience?",Itching,28,14.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q4,"If yes, what type of problem did you experience?",Rashes,27,13.5,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q4,"If yes, what type of problem did you experience?",Allergy,49,24.5,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q4,"If yes, what type of problem did you experience?",Scaling or Pigmentation,6,3.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Knowledge,Q4,"If yes, what type of problem did you experience?",Others,12,6.0,,,200,Multiple responses were allowed; percentages are based on all 200 respondents and may total more than 100%.
Pre-Survey,Baseline Attitudes,Q5,I am concerned about potential health risks from cosmetic ingredients.,Strongly disagree,1,0.5,,,200,
Pre-Survey,Baseline Attitudes,Q5,I am concerned about potential health risks from cosmetic ingredients.,Disagree,20,10.0,,,200,
Pre-Survey,Baseline Attitudes,Q5,I am concerned about potential health risks from cosmetic ingredients.,Neutral,49,24.5,,,200,
Pre-Survey,Baseline Attitudes,Q5,I am concerned about potential health risks from cosmetic ingredients.,Agree,70,35.0,,,200,
Pre-Survey,Baseline Attitudes,Q5,I am concerned about potential health risks from cosmetic ingredients.,Strongly agree,60,30.0,,,200,
Pre-Survey,Baseline Attitudes,Q5,I am concerned about potential health risks from cosmetic ingredients.,Mean score,,,3.84,,200,Mean based on a 1-to-5 scale.
Pre-Survey,Baseline Attitudes,Q6,Daily use of cosmetic products may affect my health.,Strongly disagree,4,2.0,,,200,
Pre-Survey,Baseline Attitudes,Q6,Daily use of cosmetic products may affect my health.,Disagree,13,6.5,,,200,
Pre-Survey,Baseline Attitudes,Q6,Daily use of cosmetic products may affect my health.,Neutral,49,24.5,,,200,
Pre-Survey,Baseline Attitudes,Q6,Daily use of cosmetic products may affect my health.,Agree,80,40.0,,,200,
Pre-Survey,Baseline Attitudes,Q6,Daily use of cosmetic products may affect my health.,Strongly agree,54,27.0,,,200,
Pre-Survey,Baseline Attitudes,Q6,Daily use of cosmetic products may affect my health.,Mean score,,,3.83,,200,Mean based on a 1-to-5 scale.
Pre-Survey,Baseline Attitudes,Q7,Ingredient safety is important when choosing a cosmetic product.,Strongly disagree,0,0.0,,,200,
Pre-Survey,Baseline Attitudes,Q7,Ingredient safety is important when choosing a cosmetic product.,Disagree,12,6.0,,,200,
Pre-Survey,Baseline Attitudes,Q7,Ingredient safety is important when choosing a cosmetic product.,Neutral,54,27.0,,,200,
Pre-Survey,Baseline Attitudes,Q7,Ingredient safety is important when choosing a cosmetic product.,Agree,90,45.0,,,200,
Pre-Survey,Baseline Attitudes,Q7,Ingredient safety is important when choosing a cosmetic product.,Strongly agree,44,22.0,,,200,
Pre-Survey,Baseline Attitudes,Q7,Ingredient safety is important when choosing a cosmetic product.,Mean score,,,3.83,,200,Mean based on a 1-to-5 scale.
